Number,Title,Author,Status
7818,Expirable ERC-20,"sirawt, ADISAKBOONMARK",Final
7820,Access Control Registry,"Shubham Khandelwal, Anushka Yadav",Final
1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo,Last Call
1898,Add `blockHash` to defaultBlock methods,Charles Cooper,Last Call
2266,Atomic Swap-based American Call Option Contract Standard,"Runchao Han, Haoyu Lin, Jiangshan Yu",Last Call
2537,Precompile for BLS12-381 curve operations,"Alex Vlasov, Kelly Olson, Alex Stokes, Antonio Sanso",Last Call
2935,Serve historical block hashes from state,"Vitalik Buterin, Tomasz Stanczak, Guillaume Ballet, Gajinder Singh, Tanishq Jasoria, Ignacio Hagopian, Jochem Brouwer, Sina Mahmoodi",Last Call
3076,Slashing Protection Interchange Format,"Michael Sproul, Sacha Saint-Leger, Danny Ryan",Last Call
3155,EVM trace specification,"Martin Holst Swende, Marius van der Wijden",Last Call
5008,ERC-721 Nonce Extension,"Anders, Lance, Shrug",Last Call
5114,Soulbound Badge,Micah Zoltu,Last Call
5164,Cross-Chain Execution,"Brendan Asselstine, Pierrick Turelier, Chris Whinfrey",Last Call
5216,ERC-1155 Allowance Extension,"Iván Mañús, Juan Carlos Cantó",Last Call
5453,Endorsement - Permit for Any Functions,Zainan Victor Zhou,Last Call
5496,Multi-privilege Management NFT Extension,Jeremy Z,Last Call
6093,Custom errors for commonly-used tokens,"Ernesto García, Francisco Giordano, Hadrien Croubois",Last Call
6110,Supply validator deposits on chain,"Mikhail Kalinin, Danny Ryan, Peter Davies",Last Call
6357,Single-contract Multi-delegatecall,Gavin John,Last Call
6916,Automatically Reset Testnet,"Mário Havel, pk910, Rémy Roy, Holly Atkinson, Tereza Burianova",Last Call
7002,Execution layer triggerable withdrawals,"Danny Ryan, Mikhail Kalinin, Ansgar Dietrichs, Hsiao-Wei Wang, lightclient, Felix Lange",Last Call
7251,Increase the MAX_EFFECTIVE_BALANCE,"mike, Francesco, dapplion, Mikhail, Aditya, Justin, lightclient, Felix Lange",Last Call
7523,Empty accounts deprecation,Peter Davies,Last Call
7549,Move committee index outside Attestation,"dapplion, Mikhail Kalinin",Last Call
7600,Hardfork Meta - Pectra,Tim Beiko,Last Call
7610,Revert creation in case of non-empty storage,"Gary Rong, Martin Holst Swende",Last Call
7623,Increase calldata cost,"Toni Wahrstätter, Vitalik Buterin",Last Call
7627,Secure Messaging Protocol,Chen Liaoyuan,Last Call
7685,General purpose execution layer requests,"lightclient, Felix Lange",Last Call
7691,Blob throughput increase,"Parithosh Jayanthi, Toni Wahrstätter, Sam Calder-Mason, Andrew Davis, Ansgar Dietrichs",Last Call
7702,Set EOA account code,"Vitalik Buterin, Sam Wilson, Ansgar Dietrichs, lightclient",Last Call
7723,Network Upgrade Inclusion Stages,Tim Beiko,Last Call
7840,Add blob schedule to EL config files,lightclient,Last Call
663,"SWAPN, DUPN and EXCHANGE instructions","Alex Beregszaszi, Charles Cooper, Danno Ferrin",Review
1185,Storage of DNS Records in ENS,Jim McDonald,Review
2294,Explicit bound to Chain ID size,"Zainan Victor Zhou, Alex Beregszaszi, Bryant Eisenbach",Review
3540,EOF - EVM Object Format v1,"Alex Beregszaszi, PaweÅ Bylica, Andrei Maiboroda, Matt Garnett, Piotr Dobaczewski",Review
3670,EOF - Code Validation,"Alex Beregszaszi, Andrei Maiboroda, PaweÅ Bylica",Review
4200,EOF - Static relative jumps,"Alex Beregszaszi, Andrei Maiboroda, PaweÅ Bylica",Review
4361,Sign-In with Ethereum,"Wayne Chang, Gregory Rocco, Brantly Millegan, Nick Johnson, Oliver Terbu",Review
4750,EOF - Functions,"Andrei Maiboroda, Alex Beregszaszi, PaweÅ Bylica",Review
4803,Limit transaction gas to a maximum of 2^63-1,Alex Beregszaszi,Review
4824,Common Interfaces for DAOs,"Joshua Tan, Isaac Patka, Ido Gershtein, Eyal Eithcowich, Michael Zargham, Sam Furter",Review
4973,Account-bound Tokens,Tim Daubenschütz,Review
5247,Smart Contract Executable Proposal Interface,Zainan Victor Zhou,Review
5269,ERC Detection and Discovery,Zainan Victor Zhou,Review
5289,Ethereum Notary Interface,Gavin John,Review
5450,EOF - Stack Validation,"Andrei Maiboroda, PaweÅ Bylica, Alex Beregszaszi, Danno Ferrin",Review
5568,Well-Known Format for Required Actions,Gavin John,Review
5639,Delegation Registry,"foobar, Wilkins Chung , ryley-o, Jake Rockland, andy8052",Review
5792,Wallet Call API,"Moody Salem, Lukas Rosario, Wilson Cusack, Dror Tirosh, Jake Moxey, Derek Rein, Alex Forshtat, Sam Wilson , Borislav Itskov, Joao Tavares",Review
5982,Role-based Access Control,Zainan Victor Zhou,Review
6065,Real Estate Token,"Alex, Ben Fusek, Daniel Fallon-Cyr",Review
6120,Universal Token Router,"Derion, Zergity, Ngo Quang Anh, BerlinP, Khanh Pham, Hal Blackburn",Review
6206,EOF - JUMPF and non-returning functions,"Andrei Maiboroda, Alex Beregszaszi, PaweÅ Bylica, Matt Garnett",Review
6224,Contracts Dependencies Registry,Artem Chystiakov,Review
6315,ERC-2771 Namespaced Account Abstraction,Gavin John,Review
6358,Cross-Chain Token States Synchronization,"Shawn Zheng, Jason Cheng, George Huang, Kay Lin",Review
6366,Permission Token,"Chiro, Victor Dusart",Review
6372,Contract clock,"Hadrien Croubois, Francisco Giordano",Review
6551,Non-fungible Token Bound Accounts,"Jayden Windle, Benny Giang, Steve Jang, Druzy Downs, Raymond Huynh, Alanah Lam, Wilkins Chung , Paul Sullivan , Auryn Macmillan, Jan-Felix Schwarz, Anton Bukov, Mikhail Melnik, Josh Weintraub , Rob Montgomery , vectorized, Ví­ctor Martí­nez, Adrián Pajares",Review
6596,Cultural and Historical Asset Token,"Phillip Pon, Gary Liu, Henry Chan, Joey Liu, Lauren Ho, Jeff Leung, Brian Liang, Joyce Li, Avir Mahtani, Antoine Cote, David Leung",Review
6617,Bit Based Permission,"Chiro, Victor Dusart",Review
6734,L2 Token List,"Kelvin Fichter, Andreas Freund, Pavel Sinelnikov",Review
6735,L2 Aliasing of EVM-based Addresses,"Kelvin Fichter, Andreas Freund",Review
6909,Minimal Multi-Token Interface,"JT Riley, Dillon, Sara, Vectorized, Neodaoist",Review
6956,Asset-bound Non-Fungible Tokens,"Thomas Bergmueller, Lukas Meyer",Review
6997,ERC-721 with transaction validation step.,Eduard López i Fina,Review
7015,NFT Creator Attribution,indreams,Review
7069,Revamped CALL instructions,"Alex Beregszaszi, PaweÅ Bylica, Danno Ferrin, Andrei Maiboroda, Charles Cooper",Review
7144,ERC-20 with transaction validation step.,Eduard López i Fina,Review
7417,Token Converter,Dexaran ,Review
7480,EOF - Data section access instructions,"Andrei Maiboroda, Alex Beregszaszi, PaweÅ Bylica",Review
7495,SSZ StableContainer,"Etan Kissling, Cayman",Review
7531,Staked ERC-721 Ownership Recognition,Francesco Sullo,Review
7586,Interest Rate Swaps,Samuel Gwlanold Edoumou,Review
7590,ERC-20 Holder Extension for NFTs,"Steven Pineda, Jan Turk",Review
7594,PeerDAS - Peer Data Availability Sampling,"Danny Ryan, Dankrad Feist, Francesco D'Amato, Hsiao-Wei Wang",Review
7620,EOF Contract Creation,"Alex Beregszaszi, PaweÅ Bylica, Andrei Maiboroda, Piotr Dobaczewski",Review
7628,ERC-721 Ownership Shares Extension,Chen Liaoyuan ,Review
7631,Dual Nature Token Pair,"vectorized, Thomas, Quit, Michael Amadi, cygaar, Harrison",Review
7656,Generalized Contract-Linked Services,Francesco Sullo,Review
7677,Paymaster Web Service Capability,"Lukas Rosario, Dror Tirosh, Wilson Cusack, Kristof Gazso, Hazim Jumali",Review
